               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.031778,            0.021125,           0.0069555,             0.40555,                 0.5,             0.54457,             0.26946,            0.016957,           0.0053748,           0.0026196,            0.006337,            0.006337,            0.006337
                  76,             0.06496,            0.023363,           0.0072694,             0.40555,                 0.5,             0.54457,             0.26946,            0.016957,           0.0053748,           0.0026196,           0.0062875,           0.0062875,           0.0062875
                  77,            0.051313,            0.021983,           0.0017391,              0.3862,                 0.5,             0.55133,             0.26608,            0.016028,           0.0052902,           0.0018964,            0.006238,            0.006238,            0.006238
                  78,            0.054725,            0.019761,           0.0022115,              0.3862,                 0.5,             0.55133,             0.26608,            0.016028,           0.0052902,           0.0018964,           0.0061885,           0.0061885,           0.0061885
                  79,            0.052642,            0.020401,           0.0034886,             0.72904,             0.64569,              0.7298,             0.45807,            0.014147,            0.005469,            0.001566,            0.006139,            0.006139,            0.006139
                  80,            0.059714,            0.025388,           0.0017968,             0.72904,             0.64569,              0.7298,             0.45807,            0.014147,            0.005469,            0.001566,           0.0060895,           0.0060895,           0.0060895
                  81,            0.058274,             0.02241,           0.0025884,              0.8692,             0.83333,             0.80779,             0.46152,            0.013463,            0.005553,           0.0013039,             0.00604,             0.00604,             0.00604
                  82,            0.058749,            0.029781,           0.0026321,              0.8692,             0.83333,             0.80779,             0.46152,            0.013463,            0.005553,           0.0013039,           0.0059905,           0.0059905,           0.0059905
                  83,             0.06717,            0.028369,           0.0077301,             0.46632,             0.77504,             0.65751,             0.34961,            0.014596,           0.0055799,           0.0010002,            0.005941,            0.005941,            0.005941
                  84,            0.048583,            0.020573,           0.0041098,             0.46632,             0.77504,             0.65751,             0.34961,            0.014596,           0.0055799,           0.0010002,           0.0058915,           0.0058915,           0.0058915
